P0,PS Rate,Seed,Total T1s,Closure Time,Traction,Strain,Guidance,Rearrangement,T1 Rate
3.2,0.0,3,68.0,76.80000000000001,0.223353140497141,0.0061127998814086435,0.6821258328724553,0.3178741671275447,0.8854166666666665
3.2,0.0,4,135.0,80.4,0.2169426642288006,0.006180268581167656,0.6314614136950236,0.3685385863049764,1.6791044776119401
3.2,0.0,5,84.0,80.4,0.2285096902513883,0.006706763528514818,0.6884952325637674,0.31150476743623257,1.044776119402985
3.2,1.0,1,156.0,63.6,0.243827043333569,0.006762472746777167,0.8081515868149836,0.19184841318501644,2.452830188679245
3.2,1.0,2,136.0,70.80000000000001,0.2385478346982021,0.007099208961722169,0.76933081472765,0.23066918527235003,1.9209039548022595
3.2,1.0,3,184.0,63.6,0.23595123101296597,0.0058823623905886755,0.7628878762515887,0.23711212374841129,2.893081761006289
3.2,1.0,4,195.0,69.60000000000001,0.2294087548616648,0.006697173194173278,0.6796006993401388,0.3203993006598612,2.8017241379310343
3.2,1.0,5,128.0,61.2,0.24216850179056917,0.006798984283120757,0.7667888489087669,0.23321115109123314,2.0915032679738563
3.2,2.0,1,100.0,72.0,0.225151814589292,0.005700229563356217,0.7962538528412234,0.2037461471587766,1.3888888888888888
3.2,2.0,2,84.0,55.2,0.23985802270886294,0.006311913006249809,0.8851001575512042,0.11489984244879581,1.5217391304347825
3.2,2.0,3,136.0,61.2,0.22601844124174938,0.0056473747119136514,0.8602009169363538,0.1397990830636462,2.2222222222222223
3.2,2.0,4,244.0,51.6,0.24582915677550818,0.007111955568277159,0.739320273778617,0.260679726221383,4.728682170542635
3.2,2.0,5,192.0,56.400000000000006,0.24394705518184623,0.006869844481402827,0.8054323725055432,0.19456762749445677,3.4042553191489358
3.2,4.0,1,270.0,58.80000000000001,0.23895206013630876,0.006404763464458744,0.8654670094258783,0.1345329905741217,4.591836734693877
3.2,4.0,2,72.0,56.400000000000006,0.23795049793390774,0.006352779054631883,0.9179087538775819,0.08209124612241814,1.276595744680851
3.2,4.0,3,100.0,48.00000000000001,0.2333438378830612,0.005723049725920347,0.8738036157390996,0.1261963842609004,2.083333333333333
3.2,4.0,4,148.0,46.800000000000004,0.2513110687440581,0.006486031934224932,0.753607103218646,0.246392896781354,3.1623931623931623
3.2,4.0,5,80.0,58.80000000000001,0.2354473140969762,0.006432531745009701,0.8990915626429645,0.10090843735703547,1.3605442176870746
3.2,8.0,1,92.0,79.2,0.21117026022297583,0.005530559522397411,0.935545497964475,0.06445450203552505,1.1616161616161615
3.2,8.0,2,36.0,84.0,0.2098739042355704,0.005438034067215669,0.9609850516545789,0.039014948345421074,0.42857142857142855
3.2,8.0,3,64.0,69.60000000000001,0.21859367696414803,0.005648028988190969,0.9202776547038842,0.07972234529611577,0.9195402298850573
3.2,8.0,4,88.0,76.80000000000001,0.20784658455781874,0.005062062274138796,0.8845351747149874,0.11546482528501256,1.1458333333333333
3.2,8.0,5,72.0,57.60000000000001,0.24236387977357662,0.006956993307382153,0.8940790552730852,0.10592094472691482,1.2499999999999998
3.2,16.0,1,83.0,84.0,0.20553620191900698,0.005111197193276348,0.9198203697244507,0.08017963027554931,0.9880952380952381
3.2,16.0,2,40.0,91.20000000000002,0.20205244098328057,0.005063812558482443,0.969797382861967,0.03020261713803296,0.4385964912280701
3.2,16.0,3,60.0,75.60000000000001,0.20854919884412673,0.005251053447264607,0.9594384965541795,0.040561503445820546,0.7936507936507936
3.2,16.0,4,87.0,90.0,0.19181797468997883,0.00479291332176597,0.9003672113310925,0.09963278866890746,0.9666666666666667
3.2,16.0,5,56.0,86.4,0.20737843609828102,0.005916528535956989,0.9312315745141688,0.06876842548583117,0.6481481481481481
3.2,1000.0,1,68.0,96.00000000000001,0.19306358050212064,0.004738372284081039,0.9494585491289703,0.05054145087102968,0.7083333333333333
3.2,1000.0,2,36.0,86.4,0.20071155491076614,0.005049766001439468,0.9720028876957091,0.027997112304290916,0.41666666666666663
3.2,1000.0,3,60.0,87.60000000000002,0.19520328537857784,0.0047200711342399795,0.9702682483702041,0.02973175162979591,0.6849315068493149
3.2,1000.0,4,99.0,91.20000000000002,0.1925993970373518,0.004651909639588146,0.9306766055045872,0.0693233944954128,1.0855263157894735
3.2,1000.0,5,56.0,98.40000000000002,0.18359534325414537,0.004069985153277982,0.9500771355792343,0.049922864420765656,0.5691056910569104
3.4000000000000004,0.0,1,80.0,86.4,0.2202432395717034,0.006046553684011237,0.6315026043383661,0.36849739566163386,0.9259259259259258
3.4000000000000004,0.0,2,100.0,80.4,0.22273948800417673,0.005481648959664267,0.6985580164946315,0.30144198350536855,1.243781094527363
3.4000000000000004,0.0,3,111.0,78.0,0.22533778144265157,0.005903278835173851,0.6859638694337477,0.31403613056625235,1.4230769230769231
3.4000000000000004,0.0,4,112.0,73.2,0.22419406820759383,0.00578659225118242,0.6278611096693829,0.3721388903306171,1.530054644808743
3.4000000000000004,0.0,5,92.0,66.0,0.23415216778806552,0.0065160955188062935,0.7143405644077558,0.28565943559224416,1.393939393939394
3.4000000000000004,1.0,1,200.0,72.0,0.2357122094293248,0.006170998752329466,0.7229173712095592,0.27708262879044077,2.7777777777777777
3.4000000000000004,1.0,2,116.0,73.2,0.23236107295337174,0.00582082016654542,0.7025904629145612,0.2974095370854388,1.5846994535519126
3.4000000000000004,1.0,3,199.0,54.0,0.2500066363264506,0.006683013092814058,0.7608670089758163,0.23913299102418373,3.685185185185185
3.4000000000000004,1.0,4,290.0,68.4,0.2308113872297404,0.006092767062614767,0.6902474763920547,0.30975252360794525,4.239766081871345
3.4000000000000004,1.0,5,136.0,63.6,0.23579308632652843,0.006448379358779875,0.736178107606679,0.263821892393321,2.138364779874214
